Plant,URL,ScientificName,Type,MinHeight,MaxHeight,MinWidth,MaxWidth,FloweringMonths,Sun,Watering,MinRain,MaxRain,FlowerColor,Visuals,MinTemp,Soil,MinSoilpH,MaxSoilpH,CNPSDrainage,AttractsBees,AttractsButterflies,AttractsHummingbirds,AttractsSongbirds,Notes,Containers,MinElevation,MaxElevation,Counties,Image,
California fuchsia,http://calscape.org/Epilobium-canum-(California-Fuchsia),Epilobium canum,Perennial_herb,1.8,3,1.8,3,"Aug, Sep, Oct","Full, Partial","DroughtTolerant, Infrequent, Occasional",9,117,"Red, Orange","Red-orange flowers; Summer semi-deciduous, Winter Semi-deciduous",0,Tolerates clay and sand,6,8,Medium,Yes,Yes,Yes,NA,,Yes,-10,12228,1111111111_1111_11111111_1111111111111_11111111111_111111_,,
Common horsetail,http://calscape.org/Equisetum-arvense-(Common-Horsetail),Equisetum arvense,Fern,1,2,0.3,1,NA,"Partial, Shade","Moderate, Regular",13,127,Textural,Textural,-10,"Clay, Loam, Sand",6.5,7.5,Standing,NA,NA,NA,NA,"Grows rapidly, can be invasive. Other: The stems contain 10% silica and are used for scouring metal and as a fine sandpaper. Horsetail is very astringent and makes an excellent clotting agent. Hazard: Contains equisetic acid, a potent heart and nerve sedative that is a dangerous poison when taken in high doses.",NA,6,10600,111111111111_11_1111111_1111111111111111111111111_111111_1,,
Seaside daisy,http://calscape.org/Erigeron-glaucus-(Seaside-Fleabane),Erigeron glaucus,Perennial_herb,0.6,1,1.5,3,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug",Full,"DroughtTolerant, Infrequent, Occasional, Moderate",15,69,"White, Pink, Purple","White, pink, purple flowers; Evergreen",15,"Clay soils on steep slopes, sandy soils on flats",5,7,Fast,Yes,Yes,NA,NA,,Yes,-87,1376,1_____11___1________1_11__1__________1_111_1____1______1__,,
California buckwheat,http://calscape.org/Eriogonum-fasciculatum-(California-Buckwheat),Eriogonum fasciculatum,Bush,3,5,3,6,"Apr, May, Jun, Jul, Aug, Sep","Full, Partial","DroughtTolerant, Infrequent, Occasional",5,57,"White, Pink","White, pink flowers; Evergreen",15,Adaptable,5,8.5,"Fast, Medium",Yes,Yes,NA,Yes,,NA,3,11630,1____11__11_11111_111__1_11__1__1_1111111111___111__11_1__,,
Coast buckwheat,http://calscape.org/Eriogonum-latifolium-(Coast-Eriogonum),Eriogonum latifolium,Perennial_herb,1.5,2.3,1.5,3,"Jul, Aug, Sep","Full, Partial","Moderate, Occasional",15,71,"White, Pink","White, pink, rose flowers; Summer semi-deciduous",20,Tolerates clay but prefers fast draining rocky or sandy soil,5.5,7,"Fast, Medium",Yes,Yes,NA,Yes,Edible: young stems (spring and early summer) are tender and can be eaten raw,NA,-26,7864,1______1___1__1_____1_1___11____1_1__1_111_1__1_1_____11__,,
Sulfur buckwheat,http://calscape.org/Eriogonum-umbellatum-(Sulphur-Buckwheat),Eriogonum umbellatum,Perennial_herb,0.6,1.5,0.9,0.9,"Aug, Sep, Oct",Partial,"Infrequent, Occasional",8,159,"White, Yellow, Red","White, yellow, red flowers; Evergreen",0,Prefers sandy or gravelly soil with fast drainage,5,7,"Fast, Medium",Yes,Yes,NA,Yes,,NA,406,14460,111111111111_11_1111_11_11111_111_111____11_111____11111_1,,
Golden yarrow,http://calscape.org/Eriophyllum-confertiflorum-(Golden-Yarrow),Eriophyllum confertiflorum,Perennial_herb,1,3,0.5,2,"Apr, May, Jun, Jul, Aug",Full,"DroughtTolerant, Infrequent, Moderate",11,65,Yellow,Yellow flowers; Summer semi-deciduous,5,Tolerates clay soil,5,8,Medium,NA,Yes,NA,Yes,,NA,-25,10303,1___1_1_11_11111__1111_1__1111__1_1111_111111__111___111__,,
California poppy,http://calscape.org/Eschscholzia-californica-(California-Poppy),Eschscholzia californica,Annual_herb,1.5,3,1.5,3,"Feb, Mar, Apr, May, Jun, Jul, Aug, Sep","Full, Partial","DroughtTolerant, Infrequent, Moderate",7,87,"Orange, Yellow","Orange, yellow flowers",10,Adaptable,5,8,"Fast, Medium, Slow",Yes,NA,NA,NA,Hazard: No records of toxicity have been seen but this species belongs to a family that contains many poisonous plants. ,NA,-23,8798,111111111111_111111111111111111111111111111111111111111111,,
Western goldenrod,http://calscape.org/Euthamia-occidentalis-(Western-Goldentop),Euthamia occidentalis,Perennial_herb,3,7,0.5,1,"Aug, Sep, Oct","Full, Partial","Moderate, Regular",7,63,Yellow,Yellow flowers,0,Tolerant of a variety of garden soils as long as sufficient moisture is available,4.5,7,"Fast, Medium",Yes,Yes,NA,NA,,NA,-33,7123,1111_11_1111_111111111111111111111111111111111111111111111,,
California fescue,http://calscape.org/Festuca-californica-(California-Fescue),Festuca californica,Grass,1.8,4,0.9,3,"Feb, Mar, Apr","Full, Partial","DroughtTolerant, Infrequent, Occasional, Moderate",21,119,Textural,Textural; summer dormant,30,Adaptable,6,7.2,Medium,NA,Yes,NA,Yes,Works great under oak trees. Pollen may cause allergies,Yes,13,8689,1__1_1111111____111_1_1_1_1111111_1111_1111111111__11____1,,
Idaho fescue,http://calscape.org/Festuca-idahoensis-(Idaho-Fescue),Festuca idahoensis,Grass,0.6,2.5,0.9,1.5,"Jun, Jul","Full, Partial","DroughtTolerant, Infrequent",14,137,Textural,Textural,-10,Adaptable,6,8,Medium,Yes,Yes,NA,Yes,Pollen may cause allergies,Yes,37,11752,11_111111111_1__11__111_11111_11___1_1111_1111111111111_1_,,
Red fescue,http://calscape.org/Festuca-rubra-(Red-Fescue),Festuca rubra,Grass,1,2.6,1,2,"Apr, May","Full, Partial","DroughtTolerant, Infrequent, Occasional, Moderate",14,123,Textural,Textural,-10,Tolerates many soil types,5.6,6.9,Medium,NA,Yes,NA,Yes,Pollen may cause allergies,Yes,-23,10309,1111_11111_1_11_111_111_11111111_11111_1111111111__111111_,,
Beach strawberry,http://calscape.org/Fragaria-chiloensis-(Beach-Strawberry),Fragaria chiloensis,Perennial_herb,0.3,0.9,0.9,3,"Feb, Mar","Full, Partial","Infrequent, Occasional",20,85,White,White flowers; Evergreen,25,Prefers sandy soils,5.6,6.3,Fast,Yes,Yes,NA,Yes,Edible: berries eaten raw or cooked into jam. Leaves can be used in tea.,NA,-23,10309,1______1___1________1_1___1__________1_111_11___1_________,,
Woodland strawberry,http://calscape.org/Fragaria-vesca-(Woodland-Strawberry),Fragaria vesca,Perennial_herb,0.5,1,6,9,"Feb, Mar, Apr, May","Partial, Shade","Occasional, Moderate, Regular",20,127,White,White flowers; Evergreen,-5,Tolerates clay and garden soil,5.4,6.8,Unknown,NA,Yes,NA,Yes,Edible: berries eaten raw or cooked into jam. Leaves can be used in tea.,NA,7,9319,1__11_1111_1_1__1111111_1_111_111__111_111111_1_1__1111_11,,
California coffeeberry,http://calscape.org/Frangula-californica-(Coffee-Berry),Frangula californica,Bush,6,15,5,15,"Jun, Jul, Aug","Full, Partial","DroughtTolerant, Infrequent, Occasional",9,159,NA,Evergreen; Winter deciduous,10,"Tolerates a variety of soils, but some subspecies have specific soil affinities",5,8,Medium,Yes,Yes,NA,Yes,"Pollen may cause allergies. Hazard: Leaves, berries and bark are poisonous",Yes,39,8798,111111111111_11_1_111111_11111111111111111111_111111111111,,
Flannelbush,http://calscape.org/Fremontodendron-californicum-(Flannel-Bush),Fremontodendron californicum,Bush,6,20,6,20,"Mar, Apr, May, Jun","Full, Partial",DroughtTolerant,13,59,Yellow,Yellow flowers; Evergreen,20,"Sandy, gravelly, rocky or chalky, very well-draining soils",6,8,Fast,Yes,Yes,NA,NA,"Other: Stem is covered in fine ""hairs"" that can cause skin rash on contact.",NA,-1,5019,1__11_1_11__1_1_1_1111____1111__111111_111111_1_1__1_11111,,
Coast silktassel,http://calscape.org/Garrya-elliptica-(Wavyleaf-Silktassel),Garrya elliptica,Bush,6,15,6,10,"Dec, Jan","Full, Partial","Infrequent, Occasional",18,89,"Green, Yellow",Showy green or yellow flowers; Evergreen,0,Tolerates clay soil,6,8,Medium,Yes,Yes,NA,NA,"Pollen may cause allergies. Other: Gray to black dye is obtained from berries. Wood is hard and fine-grained, has been used in cabinetry.",NA,6,11089,1____1111_11__1_1_1_1_1___11___1__1__1_111111_1_1__1____1_,,
Globe gilia,http://calscape.org/Gilia-capitata-(Blue-Field-Gilia),Gilia capitata,Annual_herb,1.5,3,0.9,3,"Feb, Mar, Apr","Full, Partial","Infrequent, Occasional, Moderate",12,127,Purple,Purple flowers,-20,Tolerates clay but does best in well-drained soil,6,7,Medium,Yes,NA,NA,NA,,NA,-3,8045,111111111111__1_111111111_11111111111111_11111111111111111,,
Common gumplant,http://calscape.org/Grindelia-camporum-(Great-Valley-Gumweed),Grindelia camporum,Perennial_herb,2,6,1.5,3,"Apr, May, Jun, Jul, Aug, Sep, Oct",Full,"DroughtTolerant, Infrequent",9,85,Yellow,Yellow flowers; Summer semi-deciduous,15,Adaptable,6,8,"Fast, Medium",Yes,Yes,NA,NA,"Other: The plant is used externally to treat burns, poison ivy rash, dermatitis, eczema and skin eruptions. Yellow and green dyes obtained from flowering heads and pods.",NA,-59,1728,11111111111111111_111111_111111111111111111111111111111111,,
Gumweed,http://calscape.org/Grindelia-stricta-(Oregon-Gumweed),Grindelia stricta,Perennial_herb,0.9,1.5,2.4,3.6,"May, Jun, Jul, Sep, Oct","Full, Partial","DroughtTolerant, Infrequent, Occasional, Moderate",15,71,Yellow,Yellow flowers; Summer semi-deciduous,30,Typically sandy,5,7.5,Fast,Yes,Yes,NA,NA,,NA,-122,7626,1_____11__11______1_1_11__11_____1___1_11111___11______11_,,
Sunflower,http://calscape.org/Helianthus-annuus-(Sunflower),Helianthus annuus,Annual_herb,8,10,1,2,"Jun, Jul, Aug",Full,"DroughtTolerant, Infrequent, Occasional",7,73,Yellow,Yellow flowers,0,Adaptable,5.4,8.6,Medium,Yes,Yes,NA,Yes,"Edible: Seeds eaten like other sunflowers. Seeds can be roasted and ground as a coffee substitute. Pollen or plant extracts may cause allergic reactions in some people. Other: The crushed leaves are used as a poultice on sores, swellings, snakebites and spider bites. Fiber from the stem is used to make paper and cloth. ",NA,3,5871,1111111_11111111_11111_111__111111111_11_11_11111111_11111,,
Toyon,http://calscape.org/Heteromeles-arbutifolia-(Toyon),Heteromeles arbutifolia,Bush,6,30,6,15,"Jun, Jul, Aug","Full, Partial","DroughtTolerant, Infrequent, Occasional",11,73,White,"Showy white flowers, prolific red berries;  Evergreen",-5,Tolerant of a variety of soils,5,8,"Fast, Medium",Yes,Yes,Yes,Yes,"Edible: Ripe berries edible. Simmer crushed berries for 30min for a cider. Can be used in fruit leather or other applications. Hazard: Fruit pits and young leaves contain cyanide. Other: Dense clusters of red berries during winter, good for wreaths and decorations. Looks like holly, and is what ""Hollywood"" was originally named for.",Yes,3,10525,1_1111111111__1_1_1_1111__11111_1111111111111_111_11111111,,
Alum root,http://calscape.org/Heuchera-micrantha-(Crevice-Alumroot),Heuchera micrantha,Perennial_herb,1.5,3,1.5,3,"May, Jun, Jul","Full, Partial","Occasional, Moderate",21,127,"White, Pink","White, pink flowers; Evergreen",16,Prefers rocky substrate,5,8,Medium,Yes,Yes,Yes,NA,,NA,3,11593,11_111111111__1_1__1111_11111_11_1___1_11111111_1__1111__1,,
Cream bush,http://calscape.org/Holodiscus-discolor-(Cream-Bush),Holodiscus discolor,Bush,6,15,3,15,"May, Jun, Jul","Full, Partial, Shade","Infrequent, Occasional",9,159,"White, Pink",Small creamy white to pinkish flowers; Winter deciduous,-15,"Adaptable, does well in garden soil",6,8,Fast,Yes,Yes,NA,Yes,"Edible: berries edible. Other: wood is very hard and doesn't burn easily, so used for making small tools.",NA,-51,10973,111111111111_11_1111111_111111111_1111_1111111111111111111,,
Meadow barley,http://calscape.org/Hordeum-brachyantherum-(Meadow-Barley),Hordeum brachyantherum,Grass,0.9,3,0.3,0.9,"Jun, Jul",Full,"Occasional, Moderate",9,113,Textural,Textural,-15,Tolerant of a variety of garden soils as long as sufficient moisture is available,5,8.1,Unknown,NA,NA,NA,Yes,,NA,15,5017,111111111111_11_111111111111111111111111111111111111111111,,
Douglas iris,http://calscape.org/Iris-douglasiana-(Douglas'-Iris),Iris douglasiana,Perennial_herb,0.6,3,2,4,"Feb, Mar, Apr, May, Jun","Full, Partial, Shade","DroughtTolerant, Infrequent, Occasional",19,101,"Lavender, Red, Purple, White","Lavender, red-purple, pale cream, veined purple flowers; Evergreen",30,Prefers heavy soils with organic matter,5,8,Slow,Yes,NA,NA,Yes,"Hazard: Many plants in this genus are thought to be poisonous if ingested, so caution is advised. The roots are especially likely to be toxic.",Yes,3,8517,1_____11___1____1_1_1_1_1_11__1___1__1_11111___11___11____,,
Soft rush,http://calscape.org/Juncus-effusus-(Soft-Rush),Juncus effusus,Grass,0.9,5,0.9,3,"Jun, Jul, Aug",Partial,Regular,4,122,Textural,"Brown, Textural",15,Wetland plant. Tolerates a variety of soils,5.5,7.5,"Slow, Standing",NA,NA,NA,NA,"Other: Stems used in baskets, mats. Stems can be peeled, soaked in oil, and used as a candle. A fiber from the stems can be used to make paper.",Yes,7,5053,111111111111111111111111_1111111111111111111111111_1111111,,
Spreading rush,http://calscape.org/Juncus-patens-(Common-Rush),Juncus patens,Grass,1.5,3,1.5,3,"Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct",Full,"Infrequent, Occasional, Moderate, Regular",10,100,Textural,Textural,15,Tolerates a variety of soils,5.5,7,"Slow, Standing",NA,NA,NA,NA,,Yes,3,8798,1__1_11____1____1_1_1_1___11111_111_11_111111_111__11__11_,,
Iris leaved rush,http://calscape.org/Juncus-xiphioides-(Irisleaf-Rush),Juncus xiphioides,Grass,1,3,1,6,"May, Jun, Jul",Partial,Regular,7,85,Textural,Textural,-20,Adaptable,5,7,"Medium, Slow, Standing",NA,Yes,NA,NA,,Yes,-66,5514,11_111111111111_11111111_111111111111111111111111_11111111,,
California goldfields,http://calscape.org/Lasthenia-californica-(California-Goldfields),Lasthenia californica,Annual_herb,0.5,1.5,0.5,1,"Feb, Mar, Apr, May, Jun","Full, Partial","Moderate, Occasional, Infrequent",7,89,Yellow,Yellow flowers,15,Variable,-1,-1,Medium,Yes,Yes,NA,NA,,NA,6,5600,1_11111111111_111_111111__11111_1111111111111_111111111111,,
Tidy tips,http://calscape.org/Layia-platyglossa-(Common-Tidy-Tips),Layia platyglossa,Annual_herb,0.3,2,0.5,2,"Feb, Mar, Apr, May",Full,"Infrequent, Occasional, Moderate",7,65,"White, Yellow","Yellow, white flowers",-5,"Prefers clay or loamy soil, tolerates sandy soil",5,8,Medium,Yes,Yes,NA,NA,Edible: Seed can be ground into a powder and used with other ground seeds in a mush or porridge,NA,7,5465,1__1_11_11_1__111_111_11__11_11_1_1111111111___11111_111__,,
Meadowfoam,http://calscape.org/Limnanthes-douglasii-(Common-Meadowfoam),Limnanthes douglasii,Annual_herb,1,2,0.5,1,"Mar, Apr, May, Jun, Jul","Full, Partial","Moderate, Regular",13,95,"White, Yellow","White, yellow flowers",15,"Adaptable, can grow in poorly drained clay soils",-1,-1,Fast,Yes,Yes,NA,NA,,NA,-7,12091,1_11111_1111____1__11111__11__1__11_1_111_111__111_1111_11,,
Silver bush lupine,http://calscape.org/Lupinus-albifrons-(Silver-Lupine),Lupinus albifrons,Bush,3,5,3,5,"Apr, May, Jun, Jul",Full,"DroughtTolerant, Infrequent, Occasional",11,123,Purple,Violet flowers; Evergreen,-10,Occurs in a variety of soils,6,8,Fast,Yes,Yes,Yes,NA,"Hazard: Seeds, leaves, and stems poisonous",NA,-141,2244,1_11111111111111111111111111111111111111111111111111111111,,
Coastal bush lupine,http://calscape.org/Lupinus-arboreus-(Coastal-Bush-Lupine),Lupinus arboreus,Bush,3,18,3,3,"Apr, May",Full,"DroughtTolerant, Infrequent, Occasional",15,67,Yellow,Yellow flowers; Evergreen,-12,Typically sandy soil,4,7,Fast,Yes,Yes,Yes,NA,"Other: A bright yellow dye is obtained from the flowers. Excellent pioneering plant: grows rapidly, providing shade for other developing plants, and adds nitrogen to soil.",NA,3,8996,1____111___1______1_1_1___1______1_111_11111___11______1__,,
Lupine,http://calscape.org/Lupinus-bicolor-(Miniature-Lupine),Lupinus bicolor,Annual_herb,0.6,0.9,0.9,1.5,"Mar, Apr, May, Jun",Full,"DroughtTolerant, Infrequent, Occasional",9,99,"Purple, Blue","Purple, blue flowers",5,Tolerates a variety of soils including very poor soil,5.8,8.2,Medium,Yes,Yes,Yes,NA,,NA,-69,6042,111111111111111_111111111_11111111111111111111111111111111,,
Sky lupine,http://calscape.org/Lupinus-nanus-(Sky-Lupine),Lupinus nanus,Annual_herb,0.6,2,1.5,3,"Mar, Apr, May",Full,"Infrequent, Occasional",7,99,"Blue, Lavender, Pink, White","Blue, lavender, pink, white flowers",30,Tolerates sandy or clay soils,5.4,7.7,Medium,Yes,Yes,Yes,NA,"Hazard: Seeds, leaves, and stems poisonous",NA,-35,4373,1_1111111111__111_111111__111_11_1111111111111111111111111,,
Arroyo lupine,http://calscape.org/Lupinus-succulentus-(Succulent-Lupine),Lupinus succulentus,Perennial_herb,1,4,2,3,"Feb, Mar, Apr, May","Full, Partial","DroughtTolerant, Infrequent, Occasional, Moderate",11,51,"Blue, Lavender, Pink","Blue, lavender, pink flowers",25,"Tolerates a variety of soils but performs best in heavy, moist soil",6,8,"Medium, Slow",Yes,Yes,Yes,NA,,NA,0,10000,1_11111_111_1_1_1_1_1_11__11_11_111111111111___11111_1_111,,
Varied lupine,http://calscape.org/Lupinus-variicolor-(Manycolored-Lupine),Lupinus variicolor,Bush,1,2,1,2,"Apr, May, Jun, Jul","Full, Partial","DroughtTolerant, Infrequent, Occasional, Moderate",21,63,"Purple, Yellow","Purple, Yellow flowers; Evergreen",25,"Loam, Sand",-1,-1,Unknown,Yes,Yes,Yes,NA,,NA,1,8346,1_____1____1________1_1___1__________1_111_1____1_1_______,,
Coast melic grass,http://calscape.org/Melica-imperfecta-(Small-Flowered-Melica),Melica imperfecta,Grass,0.9,4,0.3,0.9,"Feb, Mar","Full, Partial","DroughtTolerant, Infrequent, Occasional",9,63,Textural,Textural,0,Tolerates a variety of soils,5,8,Medium,NA,NA,NA,NA,Pollen may cause allergies,NA,-62,8815,1__11_1__11_111_1_111111_111_11_1_1111_11111___11_1_1111__,,
Sticky monkeyflower,http://calscape.org/Mimulus-aurantiacus-(Bush-Monkey-Flower),Mimulus aurantiacus,Perennial_herb,1.5,5,1.5,5,"May, Jun, Jul, Aug","Full, Partial","DroughtTolerant, Infrequent, Occasional, Moderate",11,101,"Yellow, Orange, Red","Yellow, orange, red flowers; Evergreen",15,Tolerant of difficult soils if adequate drainage is provided,5,8,Medium,Yes,Yes,Yes,Yes,,Yes,-33,10461,1_111_1111_111111_1_1_11__111111111111111111_1_111_1_11111,,
Scarlet monkeyflower,http://calscape.org/Mimulus-cardinalis-(Scarlet-Monkeyflower),Mimulus cardinalis,Perennial_herb,1.5,3,0.9,3,"Mar, Apr, May","Full, Partial","Moderate, Regular",11,85,Red,Red flowers; Evergreen,5,Tolerates sandy and clay soils,4,9,Slow,NA,Yes,Yes,Yes,,Yes,7,10662,111111111111_11_1_1_1111_111111111111_1111111_111__1111111,,
Seep monkeyflower,http://calscape.org/Mimulus-guttatus-(Seep-Monkey-Flower),Mimulus guttatus,Annual_herb,0.9,3,0.9,3,"Apr, May, Jun",Partial,"Moderate, Regular",7,111,Yellow,Yellow flowers,-15,Tolerates a variety of soils as long as adequate drainage is provided,5,8,"Slow, Standing",NA,Yes,Yes,Yes,Edible: leaves can be used like lettuce in a salad or cooked,Yes,3,9431,1.11111E+57,,
Coyote mint,http://calscape.org/Monardella-villosa-(San-Antonio-Hills-Monardella),Monardella villosa,Perennial_herb,0.9,2,1.5,3,"Jun, Jul, Aug","Full, Partial","DroughtTolerant, Infrequent, Occasional, Moderate",14,71,"White, Pink, Purple","White, pink, purple flowers; Evergreen",15,Tolerates a variety of soils,5,7,Medium,Yes,Yes,Yes,NA,Edible: The fresh or dried aromatic leaves and flower heads are steeped in cold water (but should not be boiled) to make a refreshing clear tea,Yes,7,4145,1_1111111111__1_11__1111__111_11_11_111111111_111111111_11,,
California wax myrtle,http://calscape.org/Morella-californica-(California-Wax-Myrtle),Morella californica,Bush,3,33,3,20,"Jun, Jul","Full, Partial","Occasional, Moderate, Regular",17,99,Yellow,Yellow flowers; Evergreen,20,Tolerates a variety of soils,4,8,Medium,NA,NA,NA,NA,,Yes,15,7431,1_____11___1______1_1_1___1__________1_11111____1______1__,,
Deer grass,http://calscape.org/Muhlenbergia-rigens-(Deergrass),Muhlenbergia rigens,Grass,3,5,3,5,"May, Jun","Full, Partial","DroughtTolerant, Infrequent, Occasional, Moderate",7,57,Textural,Textural,10,Tolerant of sand and clay,5,8,Medium,NA,Yes,NA,NA,,Yes,4,6418,1_11111_111_111___11_1_1__1_111111111111_1______1111_11111,,
Baby blue eyes,http://calscape.org/Nemophila-menziesii-(Baby-Blue-Eyes),Nemophila menziesii,Annual_herb,0.3,0.9,0.9,1.5,"Mar, Apr, May, Jun","Full, Partial","Infrequent, Occasional, Regular",9,101,"White, Blue","White, blue flowers",5,Sandy to loamy,6,8,Unknown,Yes,Yes,NA,NA,,NA,30,6924,1_1111111111111_1_111111__11111_1111111111111__11111111111,,
Foothill penstemon,http://calscape.org/Penstemon-heterophyllus-(Foothill-Penstemon),Penstemon heterophyllus,Perennial_herb,1.5,3,1.5,4.5,"May, Jun, Jul",Full,"DroughtTolerant, Infrequent, Occasional",6,105,"Purple, Blue","Purple, blue flowers; Evergreen",10,Tolerant of a variety of soils as long as drainage is good,6,7.5,Fast,Yes,Yes,Yes,NA,,Yes,-1,5082,1_1111111111__1_11111111__1111111_111__1_11_11111111111111,,
California sycamore,http://calscape.org/Platanus-racemosa-(Western-Sycamore),Platanus racemosa,Tree,30,115,24,50,"Feb, Mar, Apr, May","Full, Partial","Occasional, Moderate",11,51,NA,Bronze fall foliage; Winter deciduous,10,Tolerates sand and clay,5,8,Slow,NA,Yes,NA,Yes,Pollen may cause allergies,NA,-66,5538,1__1_11__111__1___11__11__11111_1111111111111__1_111_1_111,,
California polypody,http://calscape.org/Polypodium-californicum-(California-Polypody),Polypodium californicum,Fern,0.3,1.5,0.3,1.5,NA,"Partial, Shade","Moderate, Regular",11,127,Textural,Textural,15,Tolerates a wide variety of soils as long as adequate moisture is present,5.7,7.5,Slow,NA,NA,NA,NA,,NA,-22,6569,1_11__1111_1__1_1_1_1_1___1111_11_1111_11111_11_1_1111_1__,,
Western sword fern,http://calscape.org/Polystichum-munitum-(Sword-Fern),Polystichum munitum,Fern,2.1,3,2.1,3,NA,"Partial, Shade","Occasional, Moderate, Regular",19,127,Textural,Textural,15,Tolerant of a variety of soils as long as adequate moisture is available,4,7,"Medium, Slow",NA,NA,NA,NA,Edible: root can be peeled then roasted like potato,NA,-185,7224,1__111111__1____1_1_111___111_111__111_11111111_1__11111_1,,
Fremont cottonwood,http://calscape.org/Populus-fremontii-(Fremont-Cottonwood),Populus fremontii,Tree,30,100,24,35,"Feb, Mar",Full,"Occasional, Moderate, Regular",5,85,NA,Golden fall foliage; Winter deciduous,5,Accepts either sandy or clay soil as long as there is sufficient water,6,8,Slow,NA,Yes,Yes,Yes,Pollen may cause allergies; Edible: Catkins may be eaten raw or cooked,NA,-1,6049,1_11111_1111111111111111_111111_11111_1111111_111111111111,,
Holly leaf cherry,http://calscape.org/Prunus-ilicifolia-(Hollyleaf-Cherry),Prunus ilicifolia,Bush,3,30,3,20,"Feb, Mar, Apr","Full, Partial","DroughtTolerant, Infrequent, Occasional",11,49,White,"Showy cream or white flowers, prolific red or purple drupe; Evergreen",15,"Tolerant of a variety of soils but will grow largest and fastest in coarse, fast draining, relatively fertile garden soil",5,8,"Fast, Medium",Yes,Yes,NA,Yes,Pollen may cause allergies; Edible: Fruit ok raw. Hazard:Pits are poisonous.,NA,3,7280,1__1__1__1__111___1_1_11__11_1__1_1111_11111___11_1___11__,,
Coast live oak,http://calscape.org/Quercus-agrifolia-(Coast-Live-Oak),Quercus agrifolia,Tree,15,80,15,35,"Feb, Mar, Apr","Full, Partial","DroughtTolerant, Infrequent, Occasional",11,69,NA,Evergreen glossy dark green leaves; Evergreen,15,"Tolerates a variety of soils but prefers a deep, well-draining loam which it usually develops over time from leaf drop",4,8,Medium,NA,Yes,NA,Yes,"Pollen may cause allergies. Edible: Acorns edible, but the high tannin content makes them less useful than other Quercus species.",NA,-2,6522,1__1__11___1__1_1_111_11__11_1__1111111111111_111______11_,,
Valley oak,http://calscape.org/Quercus-lobata-(Valley-Oak),Quercus lobata,Tree,30,100,30,50,"Feb, Mar","Full, Partial","Infrequent, Occasional",12,85,NA,Bronze or gold fall foliage; Winter deciduous,7,"Prefers deep, rich soil but can utilize other soils if moisture is sufficient",6,8,Medium,NA,Yes,NA,Yes,"Pollen may cause allergies. Edible: Acorns are edible once leached to remove tannins, after which they are ground into flour and used to make 'acorn mush' or bread.",NA,-8,8884,1_11111_111___111_111111__11111_111_111111111_111111_11111,,
Lemonade berry,http://calscape.org/Rhus-integrifolia-(Lemonade-Sumac),Rhus integrifolia,Bush,3,30,3,20,"Feb, Mar, Apr, May","Full, Partial","DroughtTolerant, Infrequent, Occasional",7,83,"White, Pink",White to pink flowers; Winter deciduous,25,Many soil types,5,8,Medium,Yes,Yes,Yes,Yes,"Other: May cause skin rash on contact. Leaves high in tannin, can be collected in the fall and used for brown dye; Edible: berries soaked in hot or cold water for tea, roasted fruit ground for coffee substitute.",NA,-167,6918,____________1_____1_1________1__1__11__111_1___________1__,,
California gooseberry,http://calscape.org/Ribes-californicum-(Hillside-Gooseberry),Ribes californicum,Bush,2,6,3,8,"Jan, Feb, Mar",Partial,"Infrequent, Occasional, Moderate",4,77,"Pink, Purple, Yellow","Pink, Purple, Yellow",15,Tolerates sandy soil,5.2,7.3,Medium,Yes,Yes,Yes,Yes,"Edible: berries edible, but harvesting is challenging. Hazard: Plant is very spiny/thorny",NA,-3,7465,1_11111_1_11__1_1_1_1_1_1_1111111_1111_111111___1__1_1_1__,,
Chaparral currant,http://calscape.org/Ribes-malvaceum-(Chaparral-Currant),Ribes malvaceum,Bush,3,8,3,6,"Dec, Jan, Feb, Mar, Apr, May","Full, Partial","DroughtTolerant, Infrequent, Occasional",19,149,"Pink, Purple, White",Pink to purple/white flowers; Summer deciduous,34,"Medium and coarse, dry",5.8,8.2,Fast,Yes,Yes,Yes,NA,"Edible: berries eaten raw, cooked for jam/jelly",NA,7,10031,1_1_111_1111__1_1_1_1_111_11_1__1_11111111111__1_1_1__111_,,
Flowering currant,http://calscape.org/Ribes-sanguineum-(Red-Flowering-Currant),Ribes sanguineum,Bush,3,13,3,7,"Jan, Feb, Mar, Apr, May","Full, Partial, Shade","Infrequent, Occasional, Moderate",19,149,"White, Pink, Red","White, pink, or red flowers; Winter deciduous",5,Tolerates a variety of soils,5.5,7,Medium,Yes,Yes,Yes,NA,Edible: berries can be cooked into jam/jelly or used to make fruit leather,NA,7,7838,1_____11__11______111_1___11______11_1_1111111111__111____,,
Matilija poppy,http://calscape.org/Romneya-coulteri-(Coulter's-Matilija-Poppy),Romneya coulteri,Perennial_herb,6,9,6,9,"Mar, Apr, May, Jun, Jul","Full, Partial","DroughtTolerant, Infrequent, Occasional",13,33,"White, Yellow","Huge white flowers with yellow centers, largest flower of any CA native",25,Prefers sandy or gravelly soil with fast drainage,5,8,Medium,Yes,Yes,NA,NA,"Other: Can be hard to establish, but once established, will spread aggressively. Container may be required.",NA,39,4879,1_________________1__1_______1__1__11__1_1______1______1__,,
